BẢNG CÂU HỎI TRẮC NGHIỆM_ CHUYÊN MÔN KỸ THUẬT ĐIỆN;;;
Dành cho Bộ môn Điện;;;
;;;
STT;Câu hỏi;Đáp án;Đáp án đúng
1;Thiết bị nào dùng để bảo vệ quá dòng cho mạch điện?;"A. Contactor
B. Rơ-le nhiệt
C. CB (Circuit Breaker)
D. Aptomat";C
2;Trong bản vẽ điện, ký hiệu MCB thể hiện thiết bị gì?;"A. Cầu chì
B. Aptomat tép
C. Tụ bù
D. Máy biến áp";B
3;Dụng cụ đo điện trở cách điện là:;"A. Ampe kìm
B. Đồng hồ vạn năng
C. Megger
D. Ohm kế";C
4;Thiết bị điều khiển đóng cắt cơ điện là: ;"A. CB
B. Contactor
C. Cầu dao
D. Cầu chì";B
5;Tụ bù có tác dụng:;"A. Tăng hệ số công suất
B. Giảm dòng ngắn mạch
C. Tăng điện áp
D. Tăng tổn hao";A
6;Khi đóng điện thử tải, cầm kiểm tra thứ tự pha bằng:;"A. Bút thử điện
B. Đồng hồ vạn năng
C. Thiết bị kiểm tra pha
D. Ampe kìm";C
7;Điện trở của dây dẫn phụ thuộc chủ yếu vào:;"A. Nhiệt độ
B. Đường kính
C. Chiều dài
D. Cả A, B, C";D
8;Dòng rò lớn nhất cho phép của mạch điện dân dụng là:;"A. 10 mA
B. 30 mA
C. 50 mA
D. 100 mA";B
9;Rơ-le trung gian thường dùng để: ;"A. Đóng cắt tải
B. Truyền tín hiệu điều khiển
C. Bảo vệ chạm đất
D. Giảm dòng khởi động";B
10;Khi tăng điện áp cấp nguồn, công suất tiêu thụ:;"A. Tăng
B. Giảm 
C. Không đổi
D. Tùy tải";D
11;Khi kiểm tra tụ điện, dụng cụ phù hợp là:;"A. Ohm kế
B. Ampe kế
C. Đồng hồ vạn năng (thang điện dung)
D. Volt kế";C
12;"Trong sơ đồ điện, ký hiệu ""NO"" nghĩa là:";"A. Thường mở
B. Thường đóng
C. Không hoạt động
D. Không nối đất";A
13;Khi kiểm tra điện trở cách điện, giá trị nhỏ nhất được chấp nhận là bao nhiêu?;"A. 0,1 MΩ
B. 0,5 MΩ
C. 1 MΩ
D. 10 MΩ";C
14;Đối với hệ thống điện hạ thế, điện trở nối đất cho hệ thống chống sét yêu cầu ≤ bao nhiêu?;"A. 1 Ω
B. 4 Ω
C. 10 Ω
D. 20 Ω";C
15;Trong hệ thống điện công trình, dây trung tính (N) có nhiệm vụ chính là gì?;"A. Dẫn dòng sự cố
B. Dẫn dòng tải mất cân bằng
C. Dẫn dòng ngắn mạch
D. Tăng công suất pha";B
16;Cáp điện ngầm đi trong ống PVC phải được chôn sâu tối thiểu bao nhiêu mét the TCVN?;"A. 0.4 m
B. 0.5 m
C. 0.7 m
D. 1.0 m";C
17;Aptomat tổng của công trình nên chọn theo tiêu chí nào?;"A. Idm ≥ 1,25 lần tổng tải tính toán
B. Idm = tổng tải
C. Idm < tải lớn nhất
D. Idm theo thiết bị nhỏ nhất";A
18;Thiết bị đóng cắt trong tủ điện tổng phải lắp ở độ cao bao nhiêu tính từ sàn?;"A. 1.2 - 1.5 m
B. 1.5 - 1.7 m
C. 0.8 - 1.0 m 
D. Trên 2.0 m ";A
19;Độ rọi tiêu chuẩn khu vực văn phòng là bao nhiêu lux theo TCVN 7114? ;"A. 200
B. 300
C. 500
D. 700";C
20;Khi nối đất an toàn, điện trở nối đất cho thiết bị điện phải ≤ bao nhiêu Ohm?;"A. 1
B. 2
C. 4
D. 10";C
21;Khi đo cách điện cáp lực 0.6/1kV, thường dùng megger bao nhiêu VDC?;"A. 250V
B. 500V
C. 1000V
D. 2500V";C
22;Khi đo kiểm tra RCD (CB chống giật), dòng thử chuẩn là bao nhiêu?;"A. 15mA
B. 20mA
C. 30mA
D. 50mA";C
23;Khi tủ điện có 2 nguồn cấp (lưới và máy phát), cần lắp thiết bị gì để tránh xung đột? ;"A. MMCB
B. ELCB
C. ATS
D. Contactor đơn";C
24;Dây trung tính (N) nên có tiết diện bao nhiêu so với dây pha?;"A. 1/3
B. ≤ 1/2
C. = 1
D. ≤ 1/4";B
25;Số lượng dây trong ống luồn không vượt quá bao nhiêu % tiết diện ống? ;"A. 30%
B. 50%
C. 40%
D. 60%";C
26;Thanh N và PE trong tủ điện có được nối chung không?;"A. Có
B. Có ở mọi tủ
C. Không
D. Tùy theo tải";C
27;Dây điều khiển 1.5mm2 cho tín hiệu sensor kéo dài tối đa bao nhiêu mét?;"A. 50m
B. 100m
C. 150m
D. 200m";B
28;Ổ cắm trong WC cần bảo vệ bằng gì?;"A. CB chống dòng rò (ELCB)
B. CB tép thông thường
C. Cầu chì
D. Không yêu cầu";A
29;Cáp động lực đi trong máng chung với cáp điều khiển có được không? ;"A. Có
B. Không
C. Tùy tải
D. Khi có vách ngăn";B
30;Khi dòng khởi động motor cao, có thể dùng biện pháp nào?;"A. Giảm điện áp
B. Sao - tam giác
C. Khởi động trực tiếp
D. Chỉnh CB";B
31;Độ rọi tiêu chuẩn của phòng kỹ thuật là?;"A. 100 lux
B. 150 lux
C. 200 lux
D. 300 lux";C
32;Hộp nối dây trong trần chống cháy phải chịu lửa bao lâu?;"A. 1h
B. 2h
C. 3h
D. 4h";C
33;Điện trở tiếp xúc thanh cái ≤ bao nhiêu?;"A. 10µΩ
B. 50µΩ
C. 100µΩ
D. 200µΩ";B
34;Dây đồng trần trong chống sét nên chôn sâu tối thiểu: ;"A. 0.3m
B. 0.5m
C. 0.8m
D. 1.0m";C
35;Khi kiểm tra sụt áp đường dây, giá trị sụt áp cho phép thường không quá: ;"A. 3%
B. 5%
C. 10%
D. 15%";B
36;Khe hở tối thiểu giữa hai ống luồn dây nối cần:;"A. 0.5mm
B. 1mm
C. Không có khoảng hở
D. 5mm";C
37;Tuyến có từ 2 ống điện trở lên khoảng cách giữa 2 cạnh ống tối thiểu là bao nhiêu?;"A. 5mm
B. 10mm
C. 15mm
D. 20mm";B
38;Dây đi âm vách tường phải cách sàn tối thiểu bao nhiêu?;"A. 100mm
B. 150m
C. 200mm
D. 250mm";C
39;Khi lắp tủ điện, khoảng cách tối thiểu giữa tủ và tường phía sau là bao nhiêu? ;"A. 50mm
B. 100m
C. 150mm
D. 200mm";B
40;Khi lắp máng cáp chồng tầng, khoảng cách tối thiểu giữa hai tầng máng là?;"A. 100mm
B. 150m
C. 200mm
D. 300mm";C
41;Khi thi công ống luồn dây âm tường, khoảng cách giữa các điểm cố định ống là bao nhiêu?;"A. ≤ 0,8m
B. ≤ 1,2m
C. ≤ 1,5m
D. ≤ 2,0m";B
42;Độ cao lắp công tắc chiếu sáng chuẩn là?;"A. 1,0  - 1,1 m 
B. 1,2 - 1,4 m
C. 1,5 - 1,6 m
D. 1,8 m";B
